Homology group node id,class,Genome 1,Genome 2,Genome 3,Genome 4
650659,core & single copy orthologous,1,1,1,1
650669,core & single copy orthologous,1,1,1,1
650679,core & single copy orthologous,1,1,1,1
650682,core & single copy orthologous,1,1,1,1
650683,core & single copy orthologous,1,1,1,1
650684,core & single copy orthologous,1,1,1,1
650685,core & single copy orthologous,1,1,1,1
650686,core & single copy orthologous,1,1,1,1
650687,core & single copy orthologous,1,1,1,1
650688,core & single copy orthologous,1,1,1,1
650689,core & single copy orthologous,1,1,1,1
650690,core & single copy orthologous,1,1,1,1
650691,core & single copy orthologous,1,1,1,1
650692,core & single copy orthologous,1,1,1,1
650693,core & single copy orthologous,1,1,1,1
650694,core & single copy orthologous,1,1,1,1
650695,core & single copy orthologous,1,1,1,1
650696,core & single copy orthologous,1,1,1,1
650697,core & single copy orthologous,1,1,1,1
650698,core & single copy orthologous,1,1,1,1
650699,core & single copy orthologous,1,1,1,1
650703,core & single copy orthologous,1,1,1,1
650704,core & single copy orthologous,1,1,1,1
650705,core & single copy orthologous,1,1,1,1
650706,core,1,1,2,1
650707,core & single copy orthologous,1,1,1,1
650710,core & single copy orthologous,1,1,1,1
650720,core & single copy orthologous,1,1,1,1
650721,core & single copy orthologous,1,1,1,1
650722,core & single copy orthologous,1,1,1,1
650723,core & single copy orthologous,1,1,1,1
650724,core & single copy orthologous,1,1,1,1
650725,core & single copy orthologous,1,1,1,1
650726,core & single copy orthologous,1,1,1,1
650727,core & single copy orthologous,1,1,1,1
650728,core & single copy orthologous,1,1,1,1
650731,core & single copy orthologous,1,1,1,1
650732,core & single copy orthologous,1,1,1,1
650733,core,2,2,2,2
650735,core & single copy orthologous,1,1,1,1
650736,core & single copy orthologous,1,1,1,1
650737,core & single copy orthologous,1,1,1,1
650738,core & single copy orthologous,1,1,1,1
650741,core & single copy orthologous,1,1,1,1
650742,core & single copy orthologous,1,1,1,1
650743,core & single copy orthologous,1,1,1,1
650744,core & single copy orthologous,1,1,1,1
650745,core,3,3,3,3
650746,core & single copy orthologous,1,1,1,1
650747,core & single copy orthologous,1,1,1,1
650748,core & single copy orthologous,1,1,1,1
650749,core & single copy orthologous,1,1,1,1
650750,core & single copy orthologous,1,1,1,1
650751,core & single copy orthologous,1,1,1,1
650752,core & single copy orthologous,1,1,1,1
650753,core & single copy orthologous,1,1,1,1
650754,core & single copy orthologous,1,1,1,1
650755,core & single copy orthologous,1,1,1,1
650757,core & single copy orthologous,1,1,1,1
650758,core & single copy orthologous,1,1,1,1
650759,core & single copy orthologous,1,1,1,1
650760,core & single copy orthologous,1,1,1,1
650762,core & single copy orthologous,1,1,1,1
650763,core & single copy orthologous,1,1,1,1
650764,core & single copy orthologous,1,1,1,1
650765,core,2,1,1,1
650766,core & single copy orthologous,1,1,1,1
650768,core & single copy orthologous,1,1,1,1
650769,core & single copy orthologous,1,1,1,1
650770,core & single copy orthologous,1,1,1,1
650772,core & single copy orthologous,1,1,1,1
650773,core & single copy orthologous,1,1,1,1
650775,core & single copy orthologous,1,1,1,1
650776,core & single copy orthologous,1,1,1,1
650777,core & single copy orthologous,1,1,1,1
650778,core & single copy orthologous,1,1,1,1
650779,core & single copy orthologous,1,1,1,1
650780,core & single copy orthologous,1,1,1,1
650781,core & single copy orthologous,1,1,1,1
650782,core & single copy orthologous,1,1,1,1
650783,core & single copy orthologous,1,1,1,1
650784,core,1,2,1,2
650785,core & single copy orthologous,1,1,1,1
650786,core & single copy orthologous,1,1,1,1
650789,core & single copy orthologous,1,1,1,1
650790,core & single copy orthologous,1,1,1,1
650791,core & single copy orthologous,1,1,1,1
650796,core & single copy orthologous,1,1,1,1
650797,core & single copy orthologous,1,1,1,1
650798,core & single copy orthologous,1,1,1,1
650799,core & single copy orthologous,1,1,1,1
650800,core & single copy orthologous,1,1,1,1
650801,core & single copy orthologous,1,1,1,1
650802,core & single copy orthologous,1,1,1,1
650803,core,1,2,1,1
650806,core & single copy orthologous,1,1,1,1
650807,core & single copy orthologous,1,1,1,1
650808,core & single copy orthologous,1,1,1,1
650809,core & single copy orthologous,1,1,1,1
650810,core & single copy orthologous,1,1,1,1
650811,core & single copy orthologous,1,1,1,1
650812,core & single copy orthologous,1,1,1,1
650813,core & single copy orthologous,1,1,1,1
650814,core & single copy orthologous,1,1,1,1
650815,core & single copy orthologous,1,1,1,1
