Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
TKI-0143_R1_001	(1.0, 42.05412935511549)	(2.0, 17.447551735953454)	(3.0, 8.827668079955647)	(4.0, 5.083487573817639)	(5.0, 3.0733732901613107)	(6.0, 1.890969081489674)	(7.0, 1.2664888647830832)	(8.0, 0.9942430890770451)	(9.0, 0.7204722475929348)	('>10', 9.818071071664114)	('>50', 4.313327433993036)	('>100', 3.34854617966758)	('>500', 0.3016383112722485)	('>1k', 0.7078859664612577)	('>5k', 0.1521477189953232)	('>10k+', 0.0)
TKI-0143_R2_001	(1.0, 46.34377231609056)	(2.0, 16.474721178658548)	(3.0, 8.228912617376722)	(4.0, 4.675746699096281)	(5.0, 2.753727853380267)	(6.0, 1.6650323555669293)	(7.0, 1.1396829743674821)	(8.0, 0.8108754516667741)	(9.0, 0.7256310302159494)	('>10', 9.33854529932354)	('>50', 3.7640519826621555)	('>100', 2.8190471073533017)	('>500', 0.26156231132741625)	('>1k', 0.6391446811244825)	('>5k', 0.15053514093832834)	('>10k+', 0.20901100085122956)
TKI-0155_R1_001	(1.0, 43.225081826027775)	(2.0, 18.13207666181846)	(3.0, 9.137866314698794)	(4.0, 4.908222265566438)	(5.0, 2.912119311423395)	(6.0, 1.8553139162289733)	(7.0, 1.2778704747573728)	(8.0, 0.9417222389043436)	(9.0, 0.7366416304374077)	('>10', 9.642344975221691)	('>50', 3.529826840440948)	('>100', 2.483008224396739)	('>500', 0.3019404208070031)	('>1k', 0.7578795913023479)	('>5k', 0.15808530796838768)	('>10k+', 0.0)
TKI-0155_R2_001	(1.0, 49.236713599228985)	(2.0, 16.786076350178327)	(3.0, 8.060968847262263)	(4.0, 4.297725492183324)	(5.0, 2.5192984569795147)	(6.0, 1.5654347330932663)	(7.0, 1.0824219780985558)	(8.0, 0.7756668294068229)	(9.0, 0.6050300318064141)	('>10', 8.896327733013868)	('>50', 2.863917646279307)	('>100', 1.9703203663787656)	('>500', 0.29406750303726065)	('>1k', 0.6849780771093044)	('>5k', 0.1315767006435814)	('>10k+', 0.22947565530051428)
caniego_F1_R1	(1.0, 46.933047421745336)	(2.0, 15.280903071128545)	(3.0, 4.840537971110755)	(4.0, 1.9476212626092755)	(5.0, 1.1480731549441154)	(6.0, 0.8796689382510545)	(7.0, 0.7366332503620412)	(8.0, 0.6676741964371329)	(9.0, 0.5600708940319138)	('>10', 5.862077929505167)	('>50', 9.305028303594591)	('>100', 11.062438308753848)	('>500', 0.2383093789458938)	('>1k', 0.5240486440989012)	('>5k', 0.01386727448141212)	('>10k+', 0.0)
caniego_F1_R2	(1.0, 47.85022763819273)	(2.0, 14.896487476061642)	(3.0, 4.6119509339262255)	(4.0, 1.9414255291456377)	(5.0, 1.1272660698375077)	(6.0, 0.9354765399754893)	(7.0, 0.772137609303739)	(8.0, 0.6816747805028402)	(9.0, 0.6158146027710157)	('>10', 5.577833706401018)	('>50', 9.488766541329124)	('>100', 10.414840049946958)	('>500', 0.24527473099427805)	('>1k', 0.5250944730710739)	('>5k', 0.01739785432634706)	('>10k+', 0.2983314642144289)
liria_F1_R1	(1.0, 50.289969471059784)	(2.0, 17.01094619224155)	(3.0, 5.704777082238302)	(4.0, 2.409223354054382)	(5.0, 1.337225115716153)	(6.0, 1.0895623068430462)	(7.0, 0.9330813639539588)	(8.0, 0.7873857518735412)	(9.0, 0.6912825405719641)	('>10', 11.173179622218028)	('>50', 5.6597886294699205)	('>100', 2.0972722104515036)	('>500', 0.2567985406365637)	('>1k', 0.5537901503563164)	('>5k', 0.005717668314995839)	('>10k+', 0.0)
liria_F1_R2	(1.0, 51.35116321274052)	(2.0, 16.60796780681575)	(3.0, 5.423197482478328)	(4.0, 2.322800429391851)	(5.0, 1.3650297067848114)	(6.0, 1.0396264864646199)	(7.0, 0.8517339125684806)	(8.0, 0.7737742501164316)	(9.0, 0.7126117447383319)	('>10', 11.218304097928693)	('>50', 5.448188787400196)	('>100', 1.833994692131144)	('>500', 0.24295817197613456)	('>1k', 0.5544914176546025)	('>5k', 0.005813628761687269)	('>10k+', 0.24834417204824505)
