Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
TKI-0155_R2_001 - polya	(1, 0.006285198776700692)	(2, 0.021934678310218197)	(3, 0.03127113239295145)	(4, 0.04040917019091494)	(5, 0.0486156193347765)	(6, 0.0556001145297511)	(7, 0.06170867441879091)	(8, 0.06832900313988931)	(9, 0.07497352896888647)	(10, 0.08494697191705435)	(12, 0.09611998648930284)	(14, 0.10604987464325297)	(16, 0.11526413333109753)	(18, 0.12446326882650535)	(20, 0.1333290891606079)	(22, 0.1419390250786811)	(24, 0.1503390510857327)	(26, 0.1587378672373893)	(28, 0.16751355334456902)	(30, 0.17596741791669532)	(32, 0.1843613946467722)	(34, 0.1927819881955377)	(36, 0.20170588158859726)	(38, 0.21055173930868332)	(40, 0.21909513318003498)	(42, 0.22758710819710182)	(44, 0.2363180296546688)	(46, 0.24506346937697504)	(48, 0.2534096568189519)	(50, 0.2620365307125543)	(52, 0.2708291547952631)	(54, 0.27912089874446777)	(56, 0.28802361966811585)	(58, 0.29689548927919307)	(60, 0.3055296223051651)	(62, 0.3140330909484838)	(64, 0.32241859869079614)	(66, 0.3310612007045327)	(68, 0.33934447566597276)	(70, 0.34773845239604967)	(72, 0.35618505783580634)	(74, 0.36465404560036935)	(76, 0.3728986051891714)	(78, 0.38132887758109646)	(80, 0.3898964685603469)	(82, 0.3987792268699785)	(84, 0.40716412968459337)	(86, 0.41587569345584136)	(88, 0.424594516359459)	(90, 0.43359523557009705)	(92, 0.44230861412443745)	(94, 0.45088164945296505)	(96, 0.4595551027792726)	(98, 0.46814386622793436)	(100, 0.47712764746304337)	(102, 0.48601343041116235)	(104, 0.4947915362291319)	(106, 0.5035224576866989)	(108, 0.512066456485748)	(110, 0.5204894697453034)	(112, 0.5292966120927515)	(114, 0.5379706703467564)	(116, 0.5460900099021825)	(118, 0.5546527614598531)	(120, 0.5634357066994025)	(122, 0.5724285618499734)	(124, 0.5808213287246553)	(126, 0.5895431762667603)	(128, 0.5984301690702742)	(130, 0.6071399180584298)	(132, 0.6160855888485983)	(134, 0.6250403335542287)	(136, 0.6342945174701062)	(138, 0.6432928169699544)
TKI-0155_R2_001 - polyg	(1, 0.2687911533824907)	(2, 0.2723287705572882)	(3, 0.2754985916920246)	(4, 0.27934714170332103)	(5, 0.2826331089559715)	(6, 0.285550070313166)	(7, 0.2889872694901836)	(8, 0.29240148141469746)	(9, 0.29588586495211766)	(10, 0.3006647937621211)	(12, 0.3066862440627254)	(14, 0.30984638635430234)	(16, 0.3120023486680811)	(18, 0.3137209482565899)	(20, 0.31528408142684927)	(22, 0.3164957516048792)	(24, 0.31757070812328125)	(26, 0.31847507503099715)	(28, 0.3193697630955534)	(30, 0.32011624387422993)	(32, 0.3208851069777128)	(34, 0.3215523422280208)	(36, 0.3221596896362795)	(38, 0.3227271118165052)	(40, 0.32322980673310175)	(42, 0.32373189672200087)	(44, 0.3242128142414885)	(46, 0.32475906395230286)	(48, 0.3252678081458741)	(50, 0.3257009363772617)	(52, 0.32618669331832917)	(54, 0.32666821576551436)	(56, 0.3270916651537425)	(58, 0.3275520151315162)	(60, 0.3280268833740292)	(62, 0.3285507507600372)	(64, 0.32913329613269965)	(66, 0.3296789409158165)	(68, 0.33012356277345606)	(70, 0.33067828147203493)	(72, 0.3311579891361277)	(74, 0.33163467216173304)	(76, 0.33210833054885114)	(78, 0.332555977044978)	(80, 0.3330423389137429)	(82, 0.3335535028181041)	(84, 0.334087653974969)	(86, 0.33465628601058967)	(88, 0.33528238617746986)	(90, 0.3360234226068691)	(92, 0.3368352355768722)	(94, 0.33783699584388055)	(96, 0.33899482745683585)	(98, 0.34024158344131894)	(100, 0.3415433878462718)	(102, 0.3431428166783793)	(104, 0.34530785290762006)	(106, 0.34859684479875785)	(108, 0.3536020165676146)	(110, 0.3605568703054132)	(112, 0.36893874848154073)	(114, 0.37856677771445396)	(116, 0.38906892747020955)	(118, 0.40027944755970113)	(120, 0.4117966659918093)	(122, 0.4232352438232466)	(124, 0.43475427703844727)	(126, 0.44636102476978085)	(128, 0.45814985573805256)	(130, 0.46975115912010895)	(132, 0.4809774073297347)	(134, 0.49214316276961356)	(136, 0.5029665291327251)	(138, 0.513986496997514)
caniego_F1_R1 - illumina_universal_adapter	(1, 0.009893109720412926)	(2, 0.013642030012149472)	(3, 0.014089729781608962)	(4, 0.014605262849471407)	(5, 0.015109490367600025)	(6, 0.01574486226264102)	(7, 0.016019210269515187)	(8, 0.016471432258868206)	(9, 0.01681210615751415)	(10, 0.01769348681476319)	(15, 0.019890531979703283)	(20, 0.02290127524415258)	(25, 0.02586136964579434)	(30, 0.02844973757218791)	(35, 0.03127401463636065)	(40, 0.034798632821378093)	(45, 0.039864875768099994)	(50, 0.04733407562558073)	(55, 0.057759299886799044)	(60, 0.07151076762037194)	(65, 0.08941438691952117)	(70, 0.11102517134672334)	(75, 0.13633287053688645)	(80, 0.16502680798332503)	(85, 0.197122359233677)	(90, 0.23217061859317792)	(95, 0.2696961500103548)	(100, 0.3090616219615459)	(105, 0.3501898552272351)	(110, 0.3927891666242897)	(115, 0.436457832285501)	(120, 0.4809698919568558)	(125, 0.5264171467021926)	(130, 0.5725662499750053)	(135, 0.6191219008162464)	(140, 0.6472623185477168)																																						
caniego_F1_R1 - polya	(1, 0.03512558931968033)	(2, 0.04361153494988977)	(3, 0.0508478404828537)	(4, 0.05676516521353798)	(5, 0.06371129497000039)	(6, 0.07028434158524655)	(7, 0.07691466965247742)	(8, 0.0834929921909327)	(9, 0.09009392582885564)	(10, 0.1086366855396238)	(15, 0.1362273520727041)	(20, 0.16144490834632283)	(25, 0.18575379990266827)	(30, 0.20953585284141743)	(35, 0.2335824556439381)	(40, 0.25754012145521926)	(45, 0.28209034881321615)	(50, 0.3065731950947993)	(55, 0.330797822620462)	(60, 0.35471071845479724)	(65, 0.3790185548265008)	(70, 0.40330453380205233)	(75, 0.4281064980674557)	(80, 0.45267496504568977)	(85, 0.4776258610862533)	(90, 0.5024879708762408)	(95, 0.5270936707982647)	(100, 0.5518240332486872)	(105, 0.5762666317732179)	(110, 0.6010200575450974)	(115, 0.6259281432373356)	(120, 0.6513749760595564)	(125, 0.6768976314353252)	(130, 0.70253273934578)	(135, 0.7286651407038599)	(140, 0.7443769907612781)																																						
caniego_F1_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.002109615580331844)	(4, 0.0029560244037375814)	(5, 0.003521301890428858)	(6, 0.0039546812968921695)	(7, 0.004227521897135159)	(8, 0.0044528791884960815)	(9, 0.004726473492054659)	(10, 0.005448219787062081)	(15, 0.006641784357627821)	(20, 0.007910568519089282)	(25, 0.009317732609292764)	(30, 0.010971960646346117)	(35, 0.01635400528229954)	(40, 0.021239208692617112)	(45, 0.023481626797155625)	(50, 0.02583393484510692)	(55, 0.028336682074849656)	(60, 0.031004490330706246)	(65, 0.03377133520223115)	(70, 0.03688850137484152)	(75, 0.05672748004775856)	(80, 0.08776287221440393)	(85, 0.0960067283396464)	(90, 0.1016266417419995)	(95, 0.10777580561255877)	(100, 0.1148603152977632)	(105, 0.1217524798968295)	(110, 0.1287056944644584)	(115, 0.13632518276306746)	(120, 0.14516627339558213)	(125, 0.15624480769075244)	(130, 0.17042452964824267)	(135, 0.18847301072464798)	(140, 0.2012583815482997)																																						
caniego_F1_R2 - illumina_universal_adapter	(1, 0.009721265364458777)	(2, 0.013476968986035618)	(3, 0.013951048371540702)	(4, 0.01445150737309138)	(5, 0.014975331177425295)	(6, 0.015606934555888349)	(7, 0.015908415882123696)	(8, 0.016347824915111716)	(9, 0.016699804363491482)	(10, 0.01760379612020817)	(15, 0.019822246459310976)	(20, 0.02294031707590006)	(25, 0.026369968643153368)	(30, 0.02979434428719756)	(35, 0.033744352623533085)	(40, 0.038691811927718256)	(45, 0.04544861141130486)	(50, 0.05490683431862329)	(55, 0.06767667885397391)	(60, 0.08399149156386285)	(65, 0.10471727755790117)	(70, 0.12952225663656686)	(75, 0.15838894288293826)	(80, 0.19081084766894)	(85, 0.22683982578268452)	(90, 0.26600013969137254)	(95, 0.30783775851769346)	(100, 0.3516758566842491)	(105, 0.3974399683034593)	(110, 0.4447140491451192)	(115, 0.49295166430542725)	(120, 0.5420129264490102)	(125, 0.5922938312978785)	(130, 0.6432961809604276)	(135, 0.6945017290368597)	(140, 0.725263074677957)																																						
caniego_F1_R2 - polya	(1, 0.03293382007794935)	(2, 0.04119817693337582)	(3, 0.04929068943284813)	(4, 0.056638543056519136)	(5, 0.06515011459945858)	(6, 0.07370087871480863)	(7, 0.08226747059978602)	(8, 0.09067126256859633)	(9, 0.0993689988304861)	(10, 0.1246254461951892)	(15, 0.16362657796362493)	(20, 0.19916986966080436)	(25, 0.23232844406746214)	(30, 0.2640399081081903)	(35, 0.29485265631541085)	(40, 0.32438395814546805)	(45, 0.3538823985109657)	(50, 0.38310031050240123)	(55, 0.411323183376597)	(60, 0.43906248020351135)	(65, 0.46707748170326785)	(70, 0.4946572949086037)	(75, 0.5225636123902524)	(80, 0.5501191563488262)	(85, 0.5774437656115039)	(90, 0.604312987330903)	(95, 0.6309906176674795)	(100, 0.657629658394298)	(105, 0.6841431321487395)	(110, 0.7111703300830857)	(115, 0.7376076798026527)	(120, 0.7644684600449173)	(125, 0.7913916469217124)	(130, 0.8187684124538286)	(135, 0.8462650168131237)	(140, 0.8626458539334582)																																						
caniego_F1_R2 - polyg	(1, 0.3838158764302208)	(2, 0.38690379891418636)	(3, 0.3874072727289994)	(4, 0.3879122539504436)	(5, 0.38840894443541635)	(6, 0.38888528493086816)	(7, 0.38935484209647975)	(8, 0.3898733899776045)	(9, 0.39040851933167225)	(10, 0.3921369117749796)	(15, 0.3944411335513963)	(20, 0.3964435725202515)	(25, 0.39855424328522515)	(30, 0.4007737488089697)	(35, 0.4031919305267035)	(40, 0.40581587324959284)	(45, 0.4085560370237459)	(50, 0.4115817036138439)	(55, 0.41474966938992486)	(60, 0.4180763650842688)	(65, 0.42489933971896415)	(70, 0.4325048091359032)	(75, 0.4462781342656282)	(80, 0.45771181356310364)	(85, 0.46459146668713125)	(90, 0.4715963853022095)	(95, 0.47959558933121205)	(100, 0.48825247487339685)	(105, 0.4975608615615764)	(110, 0.5082898282589767)	(115, 0.5205803174856133)	(120, 0.5353146143427133)	(125, 0.554066903575215)	(130, 0.577014757684271)	(135, 0.6048214355875989)	(140, 0.6239668564695116)																																						
liria_F1_R1 - illumina_universal_adapter	(1, 0.004060512757477176)	(2, 0.004205191130458079)	(3, 0.004338447526624699)	(4, 0.004436486160947285)	(5, 0.004626852441185315)	(6, 0.004775338139770977)	(7, 0.004975222734020909)	(8, 0.005115141949995861)	(9, 0.0053302558466648345)	(10, 0.006095718659501952)	(15, 0.007809015181644221)	(20, 0.010284157557299084)	(25, 0.012790900735473459)	(30, 0.015124791331191706)	(35, 0.017783637167276267)	(40, 0.021363475067152422)	(45, 0.02662672198317347)	(50, 0.03410183470928018)	(55, 0.04434506351632809)	(60, 0.05759607955113687)	(65, 0.0746072103532072)	(70, 0.09477232968626123)	(75, 0.11799511221249848)	(80, 0.144167620251024)	(85, 0.17300030668959576)	(90, 0.204624524261578)	(95, 0.23788379781452465)	(100, 0.27335531791011747)	(105, 0.3103512911778564)	(110, 0.349107200706396)	(115, 0.38866245824565493)	(120, 0.42887143359125146)	(125, 0.46966331048693666)	(130, 0.5117871802454473)	(135, 0.5536940324444869)	(140, 0.5794530649223354)																																						
liria_F1_R1 - polya	(1, 0.032663998194642344)	(2, 0.04073172115113005)	(3, 0.04755254497205866)	(4, 0.05335300553091142)	(5, 0.059735986907292565)	(6, 0.06583437069471784)	(7, 0.07194798378456217)	(8, 0.07805969321160412)	(9, 0.08414379952801156)	(10, 0.10131769349968542)	(15, 0.12675443586509094)	(20, 0.15029018055603954)	(25, 0.17289465340406368)	(30, 0.19471976670079333)	(35, 0.2168329041795231)	(40, 0.23926185931716776)	(45, 0.2617374541934708)	(50, 0.2843579178090349)	(55, 0.30687501253442984)	(60, 0.32892076034995527)	(65, 0.3511835257249522)	(70, 0.37349331157116783)	(75, 0.39580442998134513)	(80, 0.41832095360789934)	(85, 0.44084851847870726)	(90, 0.4634501358325279)	(95, 0.485998640994162)	(100, 0.5088780027508498)	(105, 0.5316642753965013)	(110, 0.5546384395607478)	(115, 0.5778103942901613)	(120, 0.6010219452058646)	(125, 0.624500770379022)	(130, 0.6477698119113572)	(135, 0.6716453604125305)	(140, 0.6859620468841119)																																						
liria_F1_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.001003230296854417)	(4, 0.0015419668699280414)	(5, 0.001966483674858848)	(6, 0.0023224686189039635)	(7, 0.0026337174870931426)	(8, 0.0029316407156656592)	(9, 0.0032409859210524574)	(10, 0.004046806385300037)	(15, 0.005361856649184347)	(20, 0.006684711930558416)	(25, 0.008131114927806968)	(30, 0.00976084065292474)	(35, 0.011582074855961971)	(40, 0.013573686879812238)	(45, 0.015731107933749832)	(50, 0.018085748454014023)	(55, 0.02053918907372175)	(60, 0.023202984433092502)	(65, 0.025952063886009884)	(70, 0.029094440073899046)	(75, 0.062470598522911855)	(80, 0.09701141787442094)	(85, 0.10269461280464709)	(90, 0.10780118827203225)	(95, 0.1133733996608796)	(100, 0.11970555324043719)	(105, 0.12595813371485529)	(110, 0.13264551077333703)	(115, 0.14014327708679208)	(120, 0.14903376310646854)	(125, 0.16019608031450566)	(130, 0.17432278123840939)	(135, 0.19229202552891772)	(140, 0.20483031021051532)																																						
liria_F1_R2 - illumina_universal_adapter	(1, 0.004008162030411717)	(2, 0.004186154502434276)	(3, 0.004346062177834221)	(4, 0.004464089271581799)	(5, 0.0046801549996519625)	(6, 0.004847677326261429)	(7, 0.005067550379936354)	(8, 0.005227458055336299)	(9, 0.005451138434615983)	(10, 0.006222312235860243)	(15, 0.007958833444191548)	(20, 0.010529539692525904)	(25, 0.013529141170236542)	(30, 0.016688269590786644)	(35, 0.020519200614296757)	(40, 0.025572283156935022)	(45, 0.03269502789832114)	(50, 0.042314997503869745)	(55, 0.05499072663979919)	(60, 0.07093904249930061)	(65, 0.09092369459868899)	(70, 0.1144942763189211)	(75, 0.1415194349266328)	(80, 0.17184211824062762)	(85, 0.20509016018304022)	(90, 0.24126793917831613)	(95, 0.27931568614437025)	(100, 0.31971997729349083)	(105, 0.36174466621999757)	(110, 0.4056073415822025)	(115, 0.45021339726873694)	(120, 0.4955615007156392)	(125, 0.5415610375735159)	(130, 0.588996316916948)	(135, 0.6360754209500546)	(140, 0.664733351143368)																																						
liria_F1_R2 - polya	(1, 0.03128479449431782)	(2, 0.0392287793686508)	(3, 0.04713469098693618)	(4, 0.05467224385296097)	(5, 0.06271141186741297)	(6, 0.07067824069537451)	(7, 0.07911812972972757)	(8, 0.08752660832784134)	(9, 0.09579897503558493)	(10, 0.12128273787220926)	(15, 0.16108547157577774)	(20, 0.19714217761682223)	(25, 0.2304964439436077)	(30, 0.2626043822336747)	(35, 0.29363389554619335)	(40, 0.3232724024490127)	(45, 0.3521443043413135)	(50, 0.38049136639899805)	(55, 0.4080137617306915)	(60, 0.4351561859670297)	(65, 0.4630379928358125)	(70, 0.490185366595437)	(75, 0.5166403781938358)	(80, 0.5427563474471306)	(85, 0.5689905341604533)	(90, 0.5946319202771146)	(95, 0.6198417460364765)	(100, 0.6452986672275871)	(105, 0.6704332983062551)	(110, 0.6956341768504457)	(115, 0.7205938613175746)	(120, 0.7457905518036001)	(125, 0.7709053847891231)	(130, 0.7963615445151129)	(135, 0.8222344160285437)	(140, 0.8373879526680514)																																						
liria_F1_R2 - polyg	(1, 0.35596400375428955)	(2, 0.35953241967735144)	(3, 0.36000357622094054)	(4, 0.36054136096261297)	(5, 0.3610800975356866)	(6, 0.3616064603005448)	(7, 0.3621137864373791)	(8, 0.3626230162370158)	(9, 0.36317031929270016)	(10, 0.36509206689170315)	(15, 0.3677086514135748)	(20, 0.36971549273984416)	(25, 0.3719073700905048)	(30, 0.37406536224328313)	(35, 0.3765100460140999)	(40, 0.3790672362565374)	(45, 0.3817742447615221)	(50, 0.3847230184424092)	(55, 0.38781380536835386)	(60, 0.3911771968075993)	(65, 0.3946561405789494)	(70, 0.3987181762666684)	(75, 0.40615997489373346)	(80, 0.41353895264832)	(85, 0.4207241375296242)	(90, 0.42761996566496663)	(95, 0.4352161513453048)	(100, 0.44352373581489235)	(105, 0.4526851130513475)	(110, 0.46335457195984836)	(115, 0.47584469397254575)	(120, 0.49130795655000065)	(125, 0.5104005522601935)	(130, 0.5337600177756417)	(135, 0.5618961539948225)	(140, 0.5808998486521444)																																						
