Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
TKI-0143_R1_001	(0.0, 5.075856886041776e-05)	(1.0, 6.685274923079414e-05)	(2.0, 0.0002271755459972356)	(3.0, 0.0009254153712966409)	(4.0, 0.002699489253661974)	(5.0, 0.005885517960059172)	(6.0, 0.011074034108693582)	(7.0, 0.02025885904467991)	(8.0, 0.034960892813018715)	(9.0, 0.05713867336339735)	(10.0, 0.08881759139473393)	(11.0, 0.13074602629425097)	(12.0, 0.1805711326931869)	(13.0, 0.23813073077396332)	(14.0, 0.30553811022059807)	(15.0, 0.37718878222257635)	(16.0, 0.44495580469979534)	(17.0, 0.508268453256044)	(18.0, 0.581538447406057)	(19.0, 0.6721709671410195)	(20.0, 0.7776794615937084)	(21.0, 0.901092731708441)	(22.0, 1.0408867824055301)	(23.0, 1.1989198725108168)	(24.0, 1.366927640404113)	(25.0, 1.537607661245829)	(26.0, 1.722467893007721)	(27.0, 1.9253139903404461)	(28.0, 2.136272792593716)	(29.0, 2.3350749176049153)	(30.0, 2.5234690599719793)	(31.0, 2.729750026799905)	(32.0, 2.926095313276873)	(33.0, 3.120264171362216)	(34.0, 3.3532651916465905)	(35.0, 3.630751145481623)	(36.0, 3.9198861908701206)	(37.0, 4.168700981382265)	(38.0, 4.349727703181321)	(39.0, 4.436159022832677)	(40.0, 4.451720857236957)	(41.0, 4.4317578835083165)	(42.0, 4.3285787121607715)	(43.0, 4.108038920531629)	(44.0, 3.812506438445907)	(45.0, 3.4954263248719997)	(46.0, 3.173725324510982)	(47.0, 2.841949986245047)	(48.0, 2.4972615442596333)	(49.0, 2.17142433954343)	(50.0, 1.8766916144207273)	(51.0, 1.605757230010313)	(52.0, 1.3706144457228038)	(53.0, 1.1597410664268848)	(54.0, 0.9754800333803205)	(55.0, 0.8134363973281233)	(56.0, 0.6710889430145803)	(57.0, 0.5519907702599206)	(58.0, 0.45371475286290397)	(59.0, 0.36486249707968)	(60.0, 0.28187718904839554)	(61.0, 0.21219124506547787)	(62.0, 0.15928843617417612)	(63.0, 0.11734266908041406)	(64.0, 0.08351827300431885)	(65.0, 0.05934729011576284)	(66.0, 0.04226826970810691)	(67.0, 0.032281830788288376)	(68.0, 0.02408803595895484)	(69.0, 0.01728886375940815)	(70.0, 0.013832948028338484)	(71.0, 0.010125096473778699)	(72.0, 0.007150768139945683)	(73.0, 0.005601393775828297)	(74.0, 0.004295908145015845)	(75.0, 0.0033568746210981162)	(76.0, 0.0026821570594169532)	(77.0, 0.0019430627762542848)	(78.0, 0.001342626047051782)	(79.0, 0.0008641336845017463)	(80.0, 0.0005082046955414998)	(81.0, 0.00030331339928786226)	(82.0, 0.000184464067322006)	(83.0, 9.656508222225818e-05)	(84.0, 7.551884635330447e-05)	(85.0, 6.004367292025028e-05)	(86.0, 4.7044527236484755e-05)	(87.0, 3.528339542736356e-05)	(88.0, 1.980822199430937e-05)	(89.0, 2.4141270555564546e-05)	(90.0, 2.476027749288671e-05)	(91.0, 2.476027749288671e-05)	(92.0, 2.4141270555564546e-05)	(93.0, 2.4141270555564546e-05)	(94.0, 2.7855312179497554e-05)	(95.0, 2.9712332991464053e-05)	(96.0, 3.46643884900414e-05)	(97.0, 4.952055498577342e-05)	(98.0, 0.00020055824769238235)	(99.0, 0.00019065413669522768)	(100.0, 3.342637461539707e-05)
TKI-0143_R2_001	(0.0, 3.591934336219979e-05)	(1.0, 5.264041699632728e-05)	(2.0, 0.00021427746212622633)	(3.0, 0.0008490589611995847)	(4.0, 0.0023440468038952796)	(5.0, 0.005204588993378052)	(6.0, 0.010266119912330791)	(7.0, 0.019032916888801488)	(8.0, 0.032556549664669705)	(9.0, 0.05368455514992501)	(10.0, 0.08458819572091004)	(11.0, 0.12521421166160498)	(12.0, 0.1741493626004143)	(13.0, 0.2325672201868444)	(14.0, 0.2996540255040343)	(15.0, 0.36918706196399476)	(16.0, 0.4383132189655248)	(17.0, 0.5034170288095119)	(18.0, 0.5746995850108209)	(19.0, 0.665366200647248)	(20.0, 0.771057629892474)	(21.0, 0.8968564598322499)	(22.0, 1.0411165936621496)	(23.0, 1.1962423288591146)	(24.0, 1.361327630951785)	(25.0, 1.5326480356129142)	(26.0, 1.7170207864930387)	(27.0, 1.9247120035044893)	(28.0, 2.1395635558254873)	(29.0, 2.3407645190708024)	(30.0, 2.5381772301894525)	(31.0, 2.7461347457810024)	(32.0, 2.9497968033456514)	(33.0, 3.1503766096704098)	(34.0, 3.381549787755387)	(35.0, 3.658082284217564)	(36.0, 3.943369191675742)	(37.0, 4.188448729333101)	(38.0, 4.365944164557412)	(39.0, 4.4490943479457865)	(40.0, 4.467995973441609)	(41.0, 4.446807276652052)	(42.0, 4.332581287564163)	(43.0, 4.109960009694507)	(44.0, 3.8117823930624635)	(45.0, 3.490467764912976)	(46.0, 3.1639553600593686)	(47.0, 2.8281974400841356)	(48.0, 2.4847602122176737)	(49.0, 2.153800001777388)	(50.0, 1.8537248529373833)	(51.0, 1.5843787023437403)	(52.0, 1.3487620537652498)	(53.0, 1.1365982592061818)	(54.0, 0.9502226952841029)	(55.0, 0.7892483001093341)	(56.0, 0.651677215032109)	(57.0, 0.5348408805602253)	(58.0, 0.4368491960740034)	(59.0, 0.347090472806007)	(60.0, 0.26634564682485234)	(61.0, 0.20062501515347297)	(62.0, 0.15032430986787657)	(63.0, 0.10943013745001212)	(64.0, 0.0768023683976415)	(65.0, 0.05528606242466034)	(66.0, 0.04031822432602229)	(67.0, 0.03108633378291346)	(68.0, 0.023813905350114975)	(69.0, 0.017925610234808154)	(70.0, 0.014450723414027066)	(71.0, 0.011353608997572564)	(72.0, 0.008966211262033251)	(73.0, 0.0075065234636762694)	(74.0, 0.006457430917890642)	(75.0, 0.0057161299867776565)	(76.0, 0.005023134379496595)	(77.0, 0.004386494983352778)	(78.0, 0.004011199775120138)	(79.0, 0.0036538642385685995)	(80.0, 0.0033305901483088015)	(81.0, 0.0031113582939946856)	(82.0, 0.00296210722933451)	(83.0, 0.0028754053660464416)	(84.0, 0.0029088475133146967)	(85.0, 0.0029292843810897412)	(86.0, 0.002925568586948824)	(87.0, 0.002894603635774514)	(88.0, 0.0028927457387040553)	(89.0, 0.002930522979136714)	(90.0, 0.003012270450236893)	(91.0, 0.003061814372115789)	(92.0, 0.00315470922563872)	(93.0, 0.003372702481905863)	(94.0, 0.0037523327833029053)	(95.0, 0.004520882871449284)	(96.0, 0.005866619649484804)	(97.0, 0.007770344847681392)	(98.0, 0.010463057001799406)	(99.0, 0.016633752471815935)	(100.0, 0.057766974312746064)
TKI-0155_R1_001	(0.0, 6.533217393728266e-05)	(1.0, 9.497362322364238e-05)	(2.0, 0.0002443907247283537)	(3.0, 0.000900737101783462)	(4.0, 0.0027796420300167947)	(5.0, 0.0061303356544483555)	(6.0, 0.011560165221680295)	(7.0, 0.020796803775831856)	(8.0, 0.03537616233196565)	(9.0, 0.057788122630135885)	(10.0, 0.08994304583047162)	(11.0, 0.13213613657076353)	(12.0, 0.18172567629930692)	(13.0, 0.2399318038571341)	(14.0, 0.306860381563125)	(15.0, 0.37487419926951854)	(16.0, 0.44007389407631725)	(17.0, 0.5031012940997014)	(18.0, 0.5724096567341114)	(19.0, 0.6569379961857625)	(20.0, 0.7573075730345953)	(21.0, 0.8767517249629687)	(22.0, 1.0143533818256152)	(23.0, 1.164663356374136)	(24.0, 1.3239419865781583)	(25.0, 1.4897762164947574)	(26.0, 1.6666600527922681)	(27.0, 1.8604885143134564)	(28.0, 2.0618912735186146)	(29.0, 2.254547385474151)	(30.0, 2.444395423805457)	(31.0, 2.6441612490969644)	(32.0, 2.838565601632859)	(33.0, 3.040598695331005)	(34.0, 3.274875636577345)	(35.0, 3.5497789062445557)	(36.0, 3.8423599733096294)	(37.0, 4.10655481572649)	(38.0, 4.306275271452763)	(39.0, 4.4061306598956085)	(40.0, 4.434267049471264)	(41.0, 4.435244007442641)	(42.0, 4.353622949731199)	(43.0, 4.149632310525081)	(44.0, 3.8646461086802164)	(45.0, 3.5575243984213425)	(46.0, 3.2430497939568417)	(47.0, 2.919267774416424)	(48.0, 2.587145618930883)	(49.0, 2.259587641707905)	(50.0, 1.9603384584084733)	(51.0, 1.688745352220752)	(52.0, 1.4445887344490067)	(53.0, 1.2229215077000983)	(54.0, 1.0306477099476026)	(55.0, 0.8621040095952154)	(56.0, 0.7176019443242118)	(57.0, 0.5975111248593665)	(58.0, 0.49405097322677827)	(59.0, 0.3994657134815409)	(60.0, 0.3100967438831663)	(61.0, 0.23199938907158238)	(62.0, 0.17357185803541217)	(63.0, 0.12859610062742116)	(64.0, 0.0927063548170041)	(65.0, 0.06791642437302406)	(66.0, 0.04953751596040812)	(67.0, 0.039464867550873924)	(68.0, 0.031130780881115188)	(69.0, 0.023039270153475438)	(70.0, 0.018966293050515032)	(71.0, 0.013986529570406598)	(72.0, 0.009574793047030648)	(73.0, 0.0073988686983972604)	(74.0, 0.005656677393403057)	(75.0, 0.004337330436391821)	(76.0, 0.003635614494102489)	(77.0, 0.002878850145995631)	(78.0, 0.002260009276200815)	(79.0, 0.0013260011599122556)	(80.0, 0.0005849649277532623)	(81.0, 0.0003490431885352972)	(82.0, 0.0001996260870305859)	(83.0, 0.00011917072468189523)	(84.0, 7.80356522028654e-05)	(85.0, 5.807304349980681e-05)	(86.0, 4.2344927551942466e-05)	(87.0, 2.661681160407812e-05)	(88.0, 2.2987246385340195e-05)	(89.0, 2.661681160407812e-05)	(90.0, 2.1777391312427555e-05)	(91.0, 2.056753623951491e-05)	(92.0, 2.7826666676990764e-05)	(93.0, 2.8431594213447086e-05)	(94.0, 2.9036521749903404e-05)	(95.0, 3.0246376822816048e-05)	(96.0, 3.327101450509765e-05)	(97.0, 3.387594204155397e-05)	(98.0, 0.00018994724644728477)	(99.0, 0.00019660144934830433)	(100.0, 2.9036521749903404e-05)
TKI-0155_R2_001	(0.0, 3.6316674061851186e-05)	(1.0, 7.444918182679492e-05)	(2.0, 0.0002191106001731688)	(3.0, 0.0008613104531669039)	(4.0, 0.0023817685405564067)	(5.0, 0.005390604986580777)	(6.0, 0.010566941596196632)	(7.0, 0.019276890592030606)	(8.0, 0.03326607344065568)	(9.0, 0.0544362733071108)	(10.0, 0.08503367648212146)	(11.0, 0.12574648393915971)	(12.0, 0.17456093610149595)	(13.0, 0.23186683193739405)	(14.0, 0.2974026913936086)	(15.0, 0.3648802823563302)	(16.0, 0.4311563966855054)	(17.0, 0.49416401034911417)	(18.0, 0.5631917180163757)	(19.0, 0.6480752855790415)	(20.0, 0.7468747973643077)	(21.0, 0.8663512075266888)	(22.0, 1.0028492428218596)	(23.0, 1.1520460084806576)	(24.0, 1.3148312630175982)	(25.0, 1.4830458603267858)	(26.0, 1.6601955700109905)	(27.0, 1.8570549439864632)	(28.0, 2.063365732386533)	(29.0, 2.261723774444958)	(30.0, 2.452754322233503)	(31.0, 2.655676159665701)	(32.0, 2.8615063574123516)	(33.0, 3.0656278556443923)	(34.0, 3.3000023539257572)	(35.0, 3.5771536573066753)	(36.0, 3.8693993809835012)	(37.0, 4.133132278576467)	(38.0, 4.329133368488278)	(39.0, 4.4327103387463795)	(40.0, 4.46559145544198)	(41.0, 4.459234221647454)	(42.0, 4.365996003216859)	(43.0, 4.155957913502241)	(44.0, 3.874190760848061)	(45.0, 3.5641855782770895)	(46.0, 3.244422710663599)	(47.0, 2.9162047160506086)	(48.0, 2.5771794845147125)	(49.0, 2.250899589740823)	(50.0, 1.949515380314233)	(51.0, 1.6703902656980532)	(52.0, 1.4223619085252346)	(53.0, 1.2005445055786557)	(54.0, 1.0067115211083375)	(55.0, 0.8362900805719916)	(56.0, 0.6896318504301168)	(57.0, 0.5679715976008164)	(58.0, 0.4654502320021115)	(59.0, 0.3722283560748447)	(60.0, 0.28728123433257063)	(61.0, 0.21491360320742087)	(62.0, 0.15891752874935355)	(63.0, 0.11639130870082685)	(64.0, 0.0840616001730659)	(65.0, 0.06224496350830984)	(66.0, 0.04683337759226225)	(67.0, 0.03729661898362013)	(68.0, 0.029236133175592264)	(69.0, 0.021993377811857076)	(70.0, 0.01806512423416684)	(71.0, 0.013927444502719927)	(72.0, 0.010428938234761598)	(73.0, 0.008596762028341207)	(74.0, 0.007056935048118716)	(75.0, 0.005912354537269372)	(76.0, 0.005261680793661206)	(77.0, 0.004615849273261285)	(78.0, 0.004204260300560305)	(79.0, 0.0038350407809314845)	(80.0, 0.0035451126663377064)	(81.0, 0.0034186095850222576)	(82.0, 0.003287869558399594)	(83.0, 0.003166813978193423)	(84.0, 0.0031238392472202323)	(85.0, 0.003039100341075913)	(86.0, 0.0030306264504614813)	(87.0, 0.003138365916844973)	(88.0, 0.0031226286914181707)	(89.0, 0.003153497864370744)	(90.0, 0.0033393181799872165)	(91.0, 0.0033925826352779313)	(92.0, 0.003557823502259354)	(93.0, 0.003911305796461372)	(94.0, 0.004371922279145851)	(95.0, 0.005276207463285946)	(96.0, 0.006938300579516669)	(97.0, 0.009278910222802977)	(98.0, 0.012643044796732459)	(99.0, 0.020331889973527386)	(100.0, 0.07087743693281186)
caniego_F1_R1	(0.0, 0.00027284031954349745)	(1.0, 0.00034896427610121356)	(2.0, 0.0008373635221348776)	(3.0, 0.003212657077497674)	(4.0, 0.0077096232834542415)	(5.0, 0.014544574769034924)	(6.0, 0.024868038461817475)	(7.0, 0.041669198636137564)	(8.0, 0.06588754550832385)	(9.0, 0.09893853244882572)	(10.0, 0.14522679710242825)	(11.0, 0.20146318158380602)	(12.0, 0.2615234759027637)	(13.0, 0.3319599930923162)	(14.0, 0.413990716457387)	(15.0, 0.5010482589141577)	(16.0, 0.5775456750805308)	(17.0, 0.6386988380827427)	(18.0, 0.7113983471491719)	(19.0, 0.8021418718786705)	(20.0, 0.906918584203695)	(21.0, 1.0400183074347007)	(22.0, 1.182567199411886)	(23.0, 1.3272192983274305)	(24.0, 1.480233350074951)	(25.0, 1.6348769067143307)	(26.0, 1.8038468412373647)	(27.0, 1.9935002577191625)	(28.0, 2.1949709763283702)	(29.0, 2.368709586823094)	(30.0, 2.525412635653503)	(31.0, 2.7110307287352016)	(32.0, 2.883428125559683)	(33.0, 3.022830686282906)	(34.0, 3.2071701230051963)	(35.0, 3.4599355753911225)	(36.0, 3.7166447763185153)	(37.0, 3.91922042285162)	(38.0, 4.037157535230648)	(39.0, 4.074795932681927)	(40.0, 4.061375128400294)	(41.0, 4.014602986715898)	(42.0, 3.898176671078653)	(43.0, 3.688044026026479)	(44.0, 3.4102861742596073)	(45.0, 3.118553546844073)	(46.0, 2.8348625486809405)	(47.0, 2.5428276865467963)	(48.0, 2.2379041341243817)	(49.0, 1.960506552171714)	(50.0, 1.7153753528152251)	(51.0, 1.491818134968717)	(52.0, 1.3040938201384986)	(53.0, 1.1446356116724783)	(54.0, 1.0093098279890642)	(55.0, 0.88910821632808)	(56.0, 0.7832269529304283)	(57.0, 0.6938871991820066)	(58.0, 0.6255354232185792)	(59.0, 0.5560056101848578)	(60.0, 0.4784646928516119)	(61.0, 0.41401709604629316)	(62.0, 0.3702024831295463)	(63.0, 0.332113748410512)	(64.0, 0.29917054093325524)	(65.0, 0.27421959519201844)	(66.0, 0.25101045602112704)	(67.0, 0.23103809240901893)	(68.0, 0.20793673270137258)	(69.0, 0.18118255363276617)	(70.0, 0.15441782272859728)	(71.0, 0.12616302190250162)	(72.0, 0.10002009559397743)	(73.0, 0.07755599138404942)	(74.0, 0.057845916255922336)	(75.0, 0.04150300722602889)	(76.0, 0.02895046827067757)	(77.0, 0.01937806915917981)	(78.0, 0.012603037025543074)	(79.0, 0.008366098195947021)	(80.0, 0.005957641728816507)	(81.0, 0.004222618481332719)	(82.0, 0.0027159671035220804)	(83.0, 0.0015319004129065153)	(84.0, 0.0008426394399161054)	(85.0, 0.0005095029171585753)	(86.0, 0.0003018578673402506)	(87.0, 0.00018013490710192234)	(88.0, 0.00012247666277850368)	(89.0, 9.421281752192591e-05)	(90.0, 7.876191544833006e-05)	(91.0, 5.841194686359406e-05)	(92.0, 4.296104478999822e-05)	(93.0, 3.014810160701629e-05)	(94.0, 3.278606049763022e-05)	(95.0, 6.331101337473421e-05)	(96.0, 0.0001345359034213102)	(97.0, 0.00039192532089121177)	(98.0, 0.0011328149178836372)	(99.0, 0.0011422361996358298)	(100.0, 0.00034368835831998575)
caniego_F1_R2	(0.0, 0.0009275817598601923)	(1.0, 0.001402693816680364)	(2.0, 0.0027702919850014934)	(3.0, 0.006128530423160913)	(4.0, 0.011489862425737704)	(5.0, 0.018740698851268108)	(6.0, 0.02937769928462012)	(7.0, 0.04664249404198537)	(8.0, 0.07120718365807135)	(9.0, 0.10451936928455574)	(10.0, 0.1509501573186967)	(11.0, 0.20769604698994848)	(12.0, 0.26736695139703287)	(13.0, 0.3370276622919199)	(14.0, 0.4198047113590854)	(15.0, 0.5064079408425336)	(16.0, 0.5811997864765659)	(17.0, 0.6428537837022285)	(18.0, 0.7160187762171569)	(19.0, 0.8055806065945448)	(20.0, 0.9099920473260819)	(21.0, 1.0419403639799125)	(22.0, 1.1836052693859325)	(23.0, 1.3277604563352057)	(24.0, 1.4787268406741114)	(25.0, 1.6308913829005505)	(26.0, 1.7964337824854282)	(27.0, 1.9830713083421474)	(28.0, 2.1817100364474724)	(29.0, 2.3563248498194937)	(30.0, 2.512247645400875)	(31.0, 2.693128730181553)	(32.0, 2.865903474936375)	(33.0, 3.0090186231020133)	(34.0, 3.1939077818743415)	(35.0, 3.4392727807306387)	(36.0, 3.6896477777333567)	(37.0, 3.889918642173668)	(38.0, 4.006041463025425)	(39.0, 4.043920611409366)	(40.0, 4.031566943186916)	(41.0, 3.987314726958988)	(42.0, 3.8757822659635934)	(43.0, 3.6720791980627747)	(44.0, 3.4005996404741405)	(45.0, 3.1158641168649166)	(46.0, 2.8346989150742594)	(47.0, 2.5423638627912912)	(48.0, 2.2383653567036035)	(49.0, 1.9606070744117334)	(50.0, 1.7160043681327015)	(51.0, 1.4923624434930816)	(52.0, 1.3045203444152584)	(53.0, 1.145946506578785)	(54.0, 1.0094316045400606)	(55.0, 0.8889086196036942)	(56.0, 0.7832673216893318)	(57.0, 0.6915223910349744)	(58.0, 0.621814131197149)	(59.0, 0.5550663591160785)	(60.0, 0.4825334656441792)	(61.0, 0.42249764196867146)	(62.0, 0.3757049536466111)	(63.0, 0.33361093110649503)	(64.0, 0.30168898600211197)	(65.0, 0.27804093434155913)	(66.0, 0.25669825166838867)	(67.0, 0.23610654039559315)	(68.0, 0.21167279905886907)	(69.0, 0.1842619655726181)	(70.0, 0.1577096546671978)	(71.0, 0.13068789229340244)	(72.0, 0.1047235278411401)	(73.0, 0.08234533485509071)	(74.0, 0.06271064040206964)	(75.0, 0.046295311284023054)	(76.0, 0.03351219308487571)	(77.0, 0.023455591653421582)	(78.0, 0.01653910731871141)	(79.0, 0.011552506271196122)	(80.0, 0.008219929167320873)	(81.0, 0.006106265441943763)	(82.0, 0.004743195744378664)	(83.0, 0.003955996577955409)	(84.0, 0.00353824515071162)	(85.0, 0.003262763179719781)	(86.0, 0.0029993571307440226)	(87.0, 0.0028665219885671356)	(88.0, 0.0027714241026905013)	(89.0, 0.0026510422550926976)	(90.0, 0.002581605703500234)	(91.0, 0.0025936816255163146)	(92.0, 0.0026125502536664407)	(93.0, 0.0026917984918969694)	(94.0, 0.002773688338068516)	(95.0, 0.0028502949683580276)	(96.0, 0.0031197389783418263)	(97.0, 0.003606926957178079)	(98.0, 0.0044684685185128305)	(99.0, 0.006700627228672731)	(100.0, 0.14287476184300577)
liria_F1_R1	(0.0, 0.0002331984457999387)	(1.0, 0.0003150558594276723)	(2.0, 0.0008019171044344831)	(3.0, 0.0027974295192082443)	(4.0, 0.006883161472662272)	(5.0, 0.013407958803105455)	(6.0, 0.023898557457734126)	(7.0, 0.041292781938432006)	(8.0, 0.06586713897379044)	(9.0, 0.09877286742174833)	(10.0, 0.1433047281808219)	(11.0, 0.19742628012942362)	(12.0, 0.2560576044706788)	(13.0, 0.32401639072873606)	(14.0, 0.4012545714688488)	(15.0, 0.4792356558291528)	(16.0, 0.5484104054117382)	(17.0, 0.6074790958176672)	(18.0, 0.6738335719516599)	(19.0, 0.7556181705544806)	(20.0, 0.851815860853324)	(21.0, 0.9700698408880817)	(22.0, 1.1009508028901132)	(23.0, 1.2356990517708593)	(24.0, 1.3759688687499134)	(25.0, 1.520614725951683)	(26.0, 1.6771046846241113)	(27.0, 1.8462102032991212)	(28.0, 2.0217805539899403)	(29.0, 2.1844655007623235)	(30.0, 2.3367564596647665)	(31.0, 2.502443955405623)	(32.0, 2.6665257132768283)	(33.0, 2.8230347085570777)	(34.0, 3.0138638522463403)	(35.0, 3.2544090009193685)	(36.0, 3.5117825109056326)	(37.0, 3.740855247875694)	(38.0, 3.889772919872362)	(39.0, 3.946033234709586)	(40.0, 3.954390305542743)	(41.0, 3.931478320285301)	(42.0, 3.8341489036515353)	(43.0, 3.644329176091949)	(44.0, 3.397525266682768)	(45.0, 3.1369436123635706)	(46.0, 2.871305835007274)	(47.0, 2.5991513508788575)	(48.0, 2.3162478461446505)	(49.0, 2.0477226912971944)	(50.0, 1.8014356257903374)	(51.0, 1.5766551679685812)	(52.0, 1.3818402345169214)	(53.0, 1.2104312862956426)	(54.0, 1.069473295943881)	(55.0, 0.9496121502938856)	(56.0, 0.8508440420240923)	(57.0, 0.7769996125431619)	(58.0, 0.7241606520464599)	(59.0, 0.6732034602328046)	(60.0, 0.6180943842535196)	(61.0, 0.575571361534694)	(62.0, 0.5510612530507294)	(63.0, 0.5292500596405025)	(64.0, 0.506467999231435)	(65.0, 0.4846534744148395)	(66.0, 0.45969790930787746)	(67.0, 0.4306052134063464)	(68.0, 0.39134125794637387)	(69.0, 0.34629874018251794)	(70.0, 0.29774920334294824)	(71.0, 0.2452186358929368)	(72.0, 0.19633881390768307)	(73.0, 0.15302482013391977)	(74.0, 0.11507534244394609)	(75.0, 0.0831899761751618)	(76.0, 0.057789906275593377)	(77.0, 0.037990882311983075)	(78.0, 0.023940913910134524)	(79.0, 0.014781925972543053)	(80.0, 0.009057618000947823)	(81.0, 0.005286465991725957)	(82.0, 0.002801236840772325)	(83.0, 0.0015324469295424543)	(84.0, 0.0009727706596226014)	(85.0, 0.0006039363831022902)	(86.0, 0.00037882849562602286)	(87.0, 0.00026318110311707366)	(88.0, 0.00018989016300852152)	(89.0, 0.0001470577954126144)	(90.0, 0.0001061290885987476)	(91.0, 7.47186856950824e-05)	(92.0, 5.8061653852229635e-05)	(93.0, 5.0447010724068375e-05)	(94.0, 4.092870681386679e-05)	(95.0, 4.378419798692727e-05)	(96.0, 7.519460089059248e-05)	(97.0, 0.00018227551988036025)	(98.0, 0.0005225548846700667)	(99.0, 0.0004430770470198836)	(100.0, 6.424855139386066e-05)
liria_F1_R2	(0.0, 0.0009109779788368858)	(1.0, 0.0013678963270087336)	(2.0, 0.0027486568827981136)	(3.0, 0.005914686521590533)	(4.0, 0.010851691655851939)	(5.0, 0.018060900755109743)	(6.0, 0.029151771775698145)	(7.0, 0.04655850267466613)	(8.0, 0.07142410400182002)	(9.0, 0.10504452769358047)	(10.0, 0.14929413952857948)	(11.0, 0.20333009429522575)	(12.0, 0.26321546153372377)	(13.0, 0.3300589471837981)	(14.0, 0.40646722515874184)	(15.0, 0.4847217581901673)	(16.0, 0.5525295845458722)	(17.0, 0.6115463781152177)	(18.0, 0.6789901944417222)	(19.0, 0.760720927961429)	(20.0, 0.8552668156112485)	(21.0, 0.9725137789826489)	(22.0, 1.1020618037858538)	(23.0, 1.2370175692061085)	(24.0, 1.377204787663826)	(25.0, 1.5209139460899337)	(26.0, 1.6742727054602797)	(27.0, 1.8393950873711498)	(28.0, 2.014106560705698)	(29.0, 2.1748498638490528)	(30.0, 2.32658487167553)	(31.0, 2.495298279227872)	(32.0, 2.658595370010644)	(33.0, 2.8107977781494853)	(34.0, 2.9989690464119314)	(35.0, 3.2353230453458304)	(36.0, 3.490299206572008)	(37.0, 3.714119635050215)	(38.0, 3.857213216306523)	(39.0, 3.9131254426634725)	(40.0, 3.9198000715889565)	(41.0, 3.900028704858939)	(42.0, 3.812891660080936)	(43.0, 3.6279364490136508)	(44.0, 3.38344225197911)	(45.0, 3.1278633778119125)	(46.0, 2.865725652778256)	(47.0, 2.5968637477156644)	(48.0, 2.315828470603239)	(49.0, 2.047234808533369)	(50.0, 1.8025262076858173)	(51.0, 1.5774527080337923)	(52.0, 1.382315221660167)	(53.0, 1.2133583466668285)	(54.0, 1.0732730891335207)	(55.0, 0.95232646885539)	(56.0, 0.8526458481104213)	(57.0, 0.7778160586521545)	(58.0, 0.7231812025678316)	(59.0, 0.6725447393697005)	(60.0, 0.6182886633550299)	(61.0, 0.5758919769173617)	(62.0, 0.5491515333586581)	(63.0, 0.5238928583743178)	(64.0, 0.50131470750553)	(65.0, 0.48292981876631497)	(66.0, 0.4592462971282272)	(67.0, 0.42979864809057416)	(68.0, 0.39287783503720125)	(69.0, 0.34924475327783766)	(70.0, 0.3016623532828156)	(71.0, 0.25048273375839064)	(72.0, 0.20242626311015594)	(73.0, 0.1598065967069566)	(74.0, 0.12153313381994454)	(75.0, 0.08923486697508386)	(76.0, 0.06370318446884317)	(77.0, 0.044092858825042235)	(78.0, 0.029854539829455677)	(79.0, 0.019935266533741704)	(80.0, 0.013564138116897124)	(81.0, 0.009460449135870921)	(82.0, 0.006780401473236255)	(83.0, 0.005147120871011965)	(84.0, 0.004319998605708182)	(85.0, 0.003832587270797023)	(86.0, 0.0034199790439807354)	(87.0, 0.003194140360942721)	(88.0, 0.0030664509789718603)	(89.0, 0.002972589754164922)	(90.0, 0.002919227027371129)	(91.0, 0.0028144073854547507)	(92.0, 0.0027229284252368213)	(93.0, 0.0027157816314697953)	(94.0, 0.002849664901372078)	(95.0, 0.0030116588934246623)	(96.0, 0.0032293978768600483)	(97.0, 0.0037072801534151715)	(98.0, 0.004577283181321109)	(99.0, 0.006833287747112247)	(100.0, 0.11760001498349135)
