x,y,Category
8,80393,Dispensable
5,74496,Dispensable
8,96487,Dispensable
3,26065,Core
9,107401,Dispensable
7,83080,Dispensable
8,23120,Core
7,84400,Dispensable
7,95758,Dispensable
10,20582,Core
12,20553,Core
5,59465,Dispensable
9,98823,Dispensable
7,89125,Dispensable
9,22274,Core
7,23964,Core
8,22433,Core
5,25482,Core
8,102212,Dispensable
5,23691,Core
6,87793,Dispensable
6,83748,Dispensable
8,82625,Dispensable
5,61303,Dispensable
10,113337,Dispensable
10,106785,Dispensable
3,43494,Dispensable
10,92927,Dispensable
6,24249,Core
11,20722,Core
8,23191,Core
11,104940,Dispensable
9,86564,Dispensable
10,93177,Dispensable
11,96866,Dispensable
9,99073,Dispensable
10,103983,Dispensable
8,87449,Dispensable
6,24317,Core
5,71584,Dispensable
7,24963,Core
9,97801,Dispensable
5,63204,Dispensable
5,63215,Dispensable
8,93564,Dispensable
9,22515,Core
10,114348,Dispensable
7,89114,Dispensable
9,20901,Core
7,77616,Dispensable
8,23680,Core
11,20779,Core
7,77638,Dispensable
5,74154,Dispensable
8,102201,Dispensable
6,80185,Dispensable
7,23159,Core
10,100166,Dispensable
6,91411,Dispensable
5,24849,Core
8,22192,Core
8,94575,Dispensable
6,25564,Core
7,24033,Core
6,24392,Core
8,92663,Dispensable
11,109753,Dispensable
5,62888,Dispensable
8,23364,Core
5,72242,Dispensable
9,22447,Core
10,107101,Dispensable
6,69717,Dispensable
10,101078,Dispensable
9,95028,Dispensable
10,112425,Dispensable
6,67816,Dispensable
9,95006,Dispensable
7,83400,Dispensable
5,64105,Dispensable
7,98152,Dispensable
4,27941,Core
4,65597,Dispensable
5,25848,Core
10,20640,Core
10,111436,Dispensable
12,123090,Dispensable
12,21053,Core
12,20495,Core
9,109037,Dispensable
12,114846,Dispensable
8,23605,Core
8,94564,Dispensable
11,115989,Dispensable
7,77605,Dispensable
10,113359,Dispensable
10,106101,Dispensable
7,22415,Core
11,105973,Dispensable
11,21639,Core
4,55316,Dispensable
6,71456,Dispensable
8,92652,Dispensable
5,60965,Dispensable
6,25123,Core
8,24051,Core
10,113591,Dispensable
4,51382,Dispensable
6,71809,Dispensable
7,86334,Dispensable
2,28469,Dispensable
9,21587,Core
8,23418,Core
9,22817,Core
8,95928,Dispensable
5,73121,Dispensable
7,87897,Dispensable
10,102950,Dispensable
9,23080,Core
8,95156,Dispensable
4,67465,Dispensable
8,93553,Dispensable
6,67000,Dispensable
8,22558,Core
8,96178,Dispensable
4,26008,Core
8,89251,Dispensable
4,28186,Core
10,101828,Dispensable
4,52404,Dispensable
6,80814,Dispensable
5,25723,Core
7,95449,Dispensable
9,96900,Dispensable
8,99267,Dispensable
8,100973,Dispensable
7,23791,Core
12,21039,Core
6,24076,Core
9,107798,Dispensable
7,24403,Core
8,79897,Dispensable
7,74042,Dispensable
10,22186,Core
8,94266,Dispensable
8,101984,Dispensable
7,73836,Dispensable
7,89798,Dispensable
8,92365,Dispensable
9,99702,Dispensable
5,70330,Dispensable
7,88235,Dispensable
5,64116,Dispensable
5,61987,Dispensable
5,76044,Dispensable
11,21653,Core
7,96339,Dispensable
6,25805,Core
8,23432,Core
8,23177,Core
10,21499,Core
10,105873,Dispensable
5,25478,Core
4,60861,Dispensable
11,21826,Core
6,72335,Dispensable
5,61347,Dispensable
10,21510,Core
7,82543,Dispensable
7,82929,Dispensable
7,89169,Dispensable
5,58873,Dispensable
8,82669,Dispensable
6,70423,Dispensable
3,29843,Core
5,25105,Core
8,91354,Dispensable
9,107765,Dispensable
7,87257,Dispensable
12,113857,Dispensable
6,24820,Core
9,109677,Dispensable
7,85345,Dispensable
6,24752,Core
5,73617,Dispensable
6,81031,Dispensable
7,86356,Dispensable
9,21645,Core
5,62237,Dispensable
7,23346,Core
10,20809,Core
7,23404,Core
3,43957,Dispensable
8,95939,Dispensable
8,90464,Dispensable
3,29901,Core
9,21703,Core
6,68695,Dispensable
7,75980,Dispensable
5,73110,Dispensable
9,24194,Core
8,22993,Core
5,26294,Core
10,21808,Core
10,106509,Dispensable
8,82272,Dispensable
7,24593,Core
5,23677,Core
6,88429,Dispensable
3,28053,Core
8,93520,Dispensable
4,55195,Dispensable
8,91630,Dispensable
8,94553,Dispensable
9,102941,Dispensable
7,89158,Dispensable
9,20829,Core
6,70412,Dispensable
8,91365,Dispensable
10,105608,Dispensable
7,93151,Dispensable
6,82991,Dispensable
4,28254,Core
5,26535,Core
7,25022,Core
9,22702,Core
11,110999,Dispensable
9,109942,Dispensable
5,69492,Dispensable
7,23163,Core
5,71882,Dispensable
7,86610,Dispensable
4,25637,Core
10,111690,Dispensable
11,117482,Dispensable
7,83444,Dispensable
10,21384,Core
7,76881,Dispensable
7,24776,Core
6,23821,Core
9,96569,Dispensable
7,84455,Dispensable
11,109102,Dispensable
5,24676,Core
7,25205,Core
8,89891,Dispensable
10,20819,Core
4,53294,Dispensable
6,69585,Dispensable
7,22860,Core
8,21627,Core
6,23878,Core
5,75022,Dispensable
11,118493,Dispensable
7,22792,Core
7,95725,Dispensable
6,23077,Core
10,100806,Dispensable
6,23831,Core
10,101817,Dispensable
6,80803,Dispensable
6,90168,Dispensable
7,22975,Core
9,96933,Dispensable
7,94063,Dispensable
8,82647,Dispensable
9,89344,Dispensable
7,25147,Core
9,97183,Dispensable
8,94299,Dispensable
8,99234,Dispensable
8,91376,Dispensable
9,106776,Dispensable
6,23946,Core
5,24493,Core
5,24116,Core
6,67011,Dispensable
9,100124,Dispensable
10,113701,Dispensable
7,86345,Dispensable
7,94824,Dispensable
7,74991,Dispensable
8,79257,Dispensable
5,70054,Dispensable
5,24917,Core
6,23145,Core
8,90475,Dispensable
8,81250,Dispensable
9,21472,Core
10,103994,Dispensable
4,25281,Core
9,94260,Dispensable
7,22174,Core
7,22289,Core
6,79049,Dispensable
9,23629,Core
8,101333,Dispensable
6,81814,Dispensable
7,22347,Core
8,82250,Dispensable
10,113326,Dispensable
6,23318,Core
7,95714,Dispensable
7,77230,Dispensable
7,23231,Core
7,74715,Dispensable
9,23388,Core
9,95668,Dispensable
4,25522,Core
6,78413,Dispensable
9,21027,Core
11,118879,Dispensable
4,72127,Dispensable
5,76022,Dispensable
6,23590,Core
7,96725,Dispensable
10,21452,Core
10,20578,Core
7,22357,Core
8,100719,Dispensable
7,75726,Dispensable
11,117868,Dispensable
7,25137,Core
9,88454,Dispensable
5,24551,Core
9,107776,Dispensable
9,21713,Core
12,121685,Dispensable
9,109688,Dispensable
4,25705,Core
5,75684,Dispensable
8,82901,Dispensable
11,20209,Core
6,70169,Dispensable
7,88500,Dispensable
9,100135,Dispensable
4,67862,Dispensable
7,89908,Dispensable
9,109291,Dispensable
6,26108,Core
3,28854,Core
8,92387,Dispensable
8,88891,Dispensable
10,21442,Core
6,23763,Core
10,21625,Core
6,87131,Dispensable
7,83433,Dispensable
10,21007,Core
10,93453,Dispensable
8,24349,Core
4,65586,Dispensable
8,81757,Dispensable
9,21462,Core
6,77148,Dispensable
