x,y,Category
6,24127,Core
7,24898,Core
3,31754,Unique
7,33529,Accessory
6,29328,Accessory
5,26970,Core
6,39160,Unique
9,42225,Accessory
6,39211,Unique
5,34478,Unique
6,28958,Accessory
6,30554,Accessory
8,24414,Core
6,39759,Unique
7,42491,Unique
9,42991,Accessory
3,28327,Unique
5,25956,Accessory
5,36054,Unique
7,23910,Core
5,35288,Unique
9,42486,Accessory
5,24914,Core
6,39255,Unique
10,45510,Accessory
8,23299,Core
6,38489,Unique
6,40527,Unique
4,34088,Unique
5,25601,Core
5,26657,Core
4,32880,Unique
10,46348,Accessory
4,26008,Core
4,28186,Core
4,19740,Accessory
6,30049,Accessory
8,39038,Accessory
7,25144,Core
7,23791,Core
6,24076,Core
9,45696,Unique
7,24403,Core
7,39501,Unique
10,22186,Core
6,39508,Unique
9,41903,Unique
5,24727,Core
3,27682,Core
9,42920,Unique
6,30320,Accessory
6,25686,Core
6,24935,Core
6,30230,Accessory
9,24500,Core
3,29598,Core
6,25805,Core
8,23177,Core
4,36168,Unique
5,36177,Unique
6,30518,Accessory
9,42459,Accessory
6,30581,Accessory
7,33800,Accessory
6,30491,Accessory
2,27583,Unique
6,29806,Accessory
9,41650,Unique
6,35629,Unique
5,35323,Unique
8,38434,Accessory
6,38803,Unique
6,30613,Accessory
5,25636,Accessory
9,42820,Accessory
6,31149,Accessory
3,29843,Core
5,35830,Unique
7,35522,Accessory
6,38696,Unique
5,37166,Unique
8,38019,Accessory
6,25561,Core
7,24030,Core
4,26521,Core
9,42176,Unique
3,29974,Unique
8,38141,Accessory
5,25897,Accessory
7,34332,Accessory
6,24752,Core
6,31303,Accessory
8,40473,Unique
8,39092,Accessory
4,35240,Unique
5,23846,Accessory
5,24946,Accessory
3,29901,Core
7,39768,Unique
4,34981,Unique
7,41799,Unique
6,40269,Unique
8,42425,Unique
7,23519,Core
7,24213,Core
7,40129,Unique
9,43165,Unique
9,23511,Core
9,23626,Core
5,24302,Accessory
7,37593,Unique
6,38519,Unique
9,23453,Core
7,34715,Accessory
7,24087,Core
6,36825,Unique
6,38668,Unique
10,46141,Accessory
7,38809,Unique
10,22502,Core
3,29946,Unique
4,28071,Core
6,31059,Accessory
7,23784,Core
9,22569,Core
4,28254,Core
5,26535,Core
7,25022,Core
9,22702,Core
7,35432,Accessory
10,22559,Core
7,40157,Unique
4,27998,Core
6,29355,Accessory
5,26024,Accessory
7,35783,Accessory
5,36312,Unique
7,24338,Core
4,33843,Unique
9,23270,Core
7,24776,Core
5,24676,Core
7,25205,Core
8,39103,Unique
6,25571,Core
7,33642,Accessory
12,21664,Core
7,38984,Unique
8,40087,Unique
2,29640,Unique
7,40843,Unique
9,42869,Accessory
3,29836,Core
7,34088,Accessory
5,36563,Unique
6,30640,Accessory
7,35693,Accessory
3,30424,Core
9,42608,Accessory
8,23367,Core
5,25185,Accessory
8,24417,Core
7,35756,Accessory
8,40043,Unique
6,23946,Core
7,39020,Unique
5,25543,Core
7,34305,Accessory
5,26467,Core
7,23899,Core
7,23957,Core
6,24755,Core
7,39947,Unique
8,41838,Unique
6,29121,Accessory
5,35976,Unique
7,24155,Core
7,41832,Unique
3,30356,Core
7,34566,Accessory
8,23184,Core
7,41653,Unique
4,26456,Core
9,42578,Unique
5,25402,Accessory
4,34223,Unique
10,44821,Unique
9,23629,Core
7,24040,Core
5,25095,Accessory
5,25485,Core
8,23608,Core
5,25068,Accessory
7,24841,Core
8,39475,Accessory
6,28899,Accessory
7,33849,Accessory
6,30108,Accessory
8,24166,Core
9,41796,Accessory
8,42648,Unique
4,18572,Accessory
4,25705,Core
5,37345,Unique
7,35405,Accessory
5,24829,Accessory
7,38761,Unique
7,25582,Core
4,19618,Accessory
6,37814,Unique
7,37995,Unique
5,25158,Accessory
6,26380,Core
5,34360,Unique
6,24938,Core
4,26273,Core
8,43965,Unique
5,26600,Core
5,36786,Unique
9,44737,Unique
5,25690,Accessory
9,22637,Core
7,39571,Unique
10,45595,Accessory
5,24734,Core
5,25475,Core
6,30369,Accessory
8,41032,Unique
5,27341,Core
6,29684,Accessory
3,10890,Accessory
9,23507,Core
8,23988,Core
5,37631,Unique
6,24382,Core
6,30928,Accessory
3,11458,Accessory
8,38064,Accessory
4,33436,Unique
5,36637,Unique
10,45468,Unique
7,33448,Accessory
7,25025,Core
4,19361,Accessory
6,29423,Accessory
6,37661,Unique
5,34460,Unique
8,42018,Unique
4,26018,Core
10,45301,Unique
3,33123,Unique
9,22756,Core
4,17765,Accessory
6,38594,Unique
7,23601,Core
8,23300,Core
10,22179,Core
7,40459,Unique
5,25582,Accessory
5,24482,Accessory
5,25830,Accessory
6,24083,Core
5,24683,Core
8,23357,Core
5,23891,Accessory
8,39398,Accessory
7,42386,Unique
8,23001,Core
7,24216,Core
4,18604,Accessory
9,42360,Accessory
3,30244,Core
5,35165,Unique
