homology_group,1,2,3,4
650683,1,1,1,1
650684,1,1,1,1
650685,1,1,1,1
650686,1,1,1,1
650687,1,1,1,1
650688,1,1,1,1
650689,1,1,1,1
650690,1,1,1,1
650691,1,1,1,1
650692,1,1,1,1
650693,1,1,1,1
650694,1,1,1,1
650695,1,1,1,1
650696,1,1,1,1
650697,1,1,1,1
650698,1,1,1,1
650699,1,1,1,1
650700,1,0,1,1
650701,0,1,1,0
650702,1,0,1,0
650703,1,1,1,1
650704,1,1,1,1
650705,1,1,1,1
650706,1,1,1,1
650707,1,1,1,1
650708,0,0,1,1
650709,1,0,0,0
650710,1,1,1,1
650711,0,1,1,1
650712,1,0,1,0
650713,1,1,1,0
650714,1,0,0,0
650715,1,1,0,0
650716,1,1,0,0
650717,1,0,0,0
650718,1,1,1,0
650719,1,1,1,0
650720,1,1,1,1
650721,1,1,1,1
650722,1,1,1,1
650723,1,1,1,1
650724,1,1,1,1
650725,1,1,1,1
650726,1,1,1,1
650727,1,1,1,1
650728,1,1,1,1
650729,1,0,1,0
650730,1,0,1,0
650731,1,1,1,1
650732,1,1,1,1
650733,1,1,1,1
650734,1,1,0,1
650735,1,1,1,1
650736,1,1,1,1
650737,1,1,1,1
650738,1,1,1,1
650739,1,1,0,1
650740,1,0,1,0
650741,1,1,1,1
650742,1,1,1,1
650743,1,1,1,1
650744,1,1,1,1
650745,1,1,1,1
650746,1,1,1,1
650747,1,1,1,1
650748,1,1,1,1
650749,1,1,1,1
650750,1,1,1,1
650751,1,1,1,1
650752,1,1,1,1
650753,1,1,1,1
650754,1,1,1,1
650755,1,1,1,1
650756,1,1,0,1
650757,1,1,1,1
650758,1,1,1,1
650759,1,1,1,1
650760,1,1,1,1
650761,1,0,1,0
650762,1,1,1,1
650763,1,1,1,1
650764,1,1,1,1
650765,1,1,1,1
650766,1,1,1,1
650767,1,0,0,0
650768,1,1,1,1
650769,1,1,1,1
650770,1,1,1,1
650771,1,1,0,1
650772,1,1,1,1
650773,1,1,1,1
650774,1,0,0,0
650775,1,1,1,1
650776,1,1,1,1
650777,1,1,1,1
650778,1,1,1,1
650779,1,1,1,1
650780,1,1,1,1
650781,1,1,1,1
650782,1,1,1,1
650783,1,1,1,1
650784,1,1,1,1
650785,1,1,1,1
650786,1,1,1,1
650787,1,0,0,0
650788,0,0,1,0
650789,1,1,1,1
650790,1,1,1,1
650791,1,1,1,1
650792,1,0,1,0
650793,0,1,0,1
650794,1,0,0,1
650795,1,1,0,1
650796,1,1,1,1
650797,1,1,1,1
650798,1,1,1,1
650799,1,1,1,1
650800,1,1,1,1
650801,1,1,1,1
650802,1,1,1,1
650803,1,1,1,1
650804,1,1,1,0
650805,1,0,1,1
650806,1,1,1,1
650807,1,1,1,1
650808,1,1,1,1
650809,1,1,1,1
650810,1,1,1,1
650811,1,1,1,1
650812,1,1,1,1
650813,1,1,1,1
650814,1,1,1,1
650815,1,1,1,1
650816,1,1,1,1
650817,1,0,0,0
650818,1,1,1,1
650819,1,1,1,1
650820,1,1,1,1
650821,1,1,1,1
650822,1,1,1,1
650823,1,1,1,1
650824,1,1,1,1
650825,1,1,1,1
650826,1,0,0,0
650827,1,1,1,1
650828,1,1,1,1
650829,1,1,1,1
650830,1,1,1,1
650831,1,1,1,1
650832,1,1,1,1
650833,1,1,1,1
650834,1,1,1,1
650835,1,1,1,1
650836,1,1,0,1
650837,0,1,1,1
650838,1,1,1,1
650839,1,1,1,1
650840,1,1,1,1
650841,1,1,1,1
650842,1,1,1,1
650843,1,1,1,1
650844,1,0,1,0
650845,1,1,1,1
650846,1,1,1,1
650847,0,1,1,1
650848,1,0,1,0
650849,1,1,0,0
650850,1,1,1,1
650851,1,1,1,1
650852,1,1,1,1
650853,1,1,1,1
650854,1,0,0,1
650855,0,0,1,0
650856,0,1,0,0
650857,1,0,0,0
650858,0,0,0,1
650859,0,0,1,0
650860,0,1,0,0
650861,1,0,0,0
650862,0,0,0,1
650863,0,1,0,0
650864,0,0,1,0
650865,1,0,0,0
650866,1,1,1,1
650867,1,1,1,1
650868,1,1,1,1
650869,1,0,1,1
650870,1,1,0,1
650871,1,1,1,1
650872,1,1,1,1
650873,1,0,1,0
650874,1,1,1,1
650875,1,1,1,1
650876,1,1,1,1
650877,1,1,1,1
650878,1,0,1,1
650879,1,0,0,1
650880,1,1,1,1
650881,1,1,1,1
650882,1,1,1,1
650883,1,1,1,1
650884,1,1,1,1
650885,1,1,1,1
650886,1,0,1,1
650887,1,0,0,0
650888,1,0,0,0
650889,0,0,1,0
650890,0,0,1,0
650891,0,0,0,1
650892,0,0,0,1
650893,0,1,0,0
650894,0,1,0,0
650895,1,1,1,1
650896,0,1,0,1
650897,1,1,1,1
650898,1,1,1,1
650899,1,1,1,0
650900,1,1,1,1
650901,1,1,1,1
650902,1,1,1,1
650903,1,1,1,1
650904,1,1,1,1
650905,1,1,1,1
650906,1,1,1,1
650907,1,1,1,1
650908,1,1,1,1
650909,1,1,1,1
650910,1,1,1,1
650911,1,1,1,1
650912,1,0,0,1
650913,1,1,1,1
650914,1,1,1,1
650915,1,1,1,1
650916,1,1,1,1
650917,1,1,1,1
650918,1,1,1,1
650919,1,1,1,1
650920,1,1,1,1
650921,1,1,1,1
650922,1,1,1,1
650923,1,1,1,1
650924,1,1,1,1
650925,1,1,1,1
650926,1,1,1,1
650927,1,1,1,1
650928,1,1,1,1
650929,1,1,1,1
650930,1,1,1,1
650931,1,1,1,1
650932,1,1,1,1
650933,1,1,1,1
650934,1,1,1,1
650935,1,1,1,1
650936,1,0,1,1
650937,1,1,1,1
650938,1,1,1,1
650939,1,1,1,1
650940,1,0,1,1
650941,1,1,0,1
650942,1,1,0,0
650943,0,1,0,0
650944,1,0,0,0
650945,0,0,0,1
650946,0,0,1,0
650947,0,1,0,0
650948,0,0,1,0
650949,0,0,0,1
650950,0,0,0,1
650951,0,1,0,0
650952,0,0,1,0
650953,1,0,0,0
650954,1,1,1,1
650955,1,1,1,1
650956,1,1,0,1
650957,1,1,0,1
650958,1,1,1,1
650959,1,1,1,1
650960,1,0,0,0
650961,0,0,0,1
650962,0,0,0,1
650963,0,1,0,0
650964,0,1,0,0
650965,0,0,1,0
