x,y,Category
5,87407,Total
9,120665,Total
9,22817,Core
7,110011,Total
8,95928,Dispensable
7,87897,Dispensable
9,23080,Core
8,95156,Dispensable
4,67465,Dispensable
11,126883,Total
8,22558,Core
9,119953,Total
4,26008,Core
8,89251,Dispensable
11,139774,Total
10,126104,Total
10,101828,Dispensable
10,123580,Total
5,25723,Core
12,132092,Total
9,96900,Dispensable
8,99267,Dispensable
10,134204,Total
7,23791,Core
9,107798,Dispensable
8,79897,Dispensable
10,22186,Core
8,101984,Dispensable
7,73836,Dispensable
8,92365,Dispensable
7,88235,Dispensable
7,108373,Total
3,82747,Total
5,64116,Dispensable
5,76044,Dispensable
11,21653,Core
7,96339,Dispensable
6,25805,Core
8,23432,Core
8,23177,Core
8,114898,Total
10,21499,Core
10,105873,Dispensable
5,25478,Core
4,60861,Dispensable
8,115860,Total
11,21826,Core
7,99558,Total
6,72335,Dispensable
5,61347,Dispensable
9,119129,Total
7,110204,Total
7,89169,Dispensable
8,82669,Dispensable
6,70423,Dispensable
11,129301,Total
3,29843,Core
5,25105,Core
9,107765,Dispensable
7,87257,Dispensable
12,113857,Dispensable
6,24820,Core
9,109677,Dispensable
7,85345,Dispensable
9,122840,Total
5,73617,Dispensable
6,81031,Dispensable
7,86356,Dispensable
9,21645,Core
5,62237,Dispensable
10,20809,Core
6,102906,Total
5,101084,Total
9,21703,Core
6,68695,Dispensable
7,75980,Dispensable
9,121139,Total
5,73110,Dispensable
9,24194,Core
8,22993,Core
6,114766,Total
6,101261,Total
7,24593,Core
10,132855,Total
3,69231,Total
8,116247,Total
8,124012,Total
7,110347,Total
8,93520,Dispensable
8,91630,Dispensable
9,102941,Dispensable
8,121451,Total
6,93366,Total
9,117722,Total
5,95508,Total
10,122859,Total
8,91365,Dispensable
3,80082,Total
10,126439,Total
5,26535,Core
7,25022,Core
9,22702,Core
9,109942,Dispensable
5,69492,Dispensable
8,116248,Total
7,23163,Core
6,106610,Total
9,120330,Total
10,111690,Dispensable
11,117482,Dispensable
7,83444,Dispensable
10,21384,Core
7,76881,Dispensable
6,23821,Core
5,24676,Core
10,20819,Core
4,53294,Dispensable
7,22860,Core
5,75022,Dispensable
7,95725,Dispensable
6,80803,Dispensable
6,90168,Dispensable
8,112053,Total
10,124053,Total
7,107162,Total
7,25147,Core
8,114562,Total
9,97183,Dispensable
8,94299,Dispensable
7,99682,Total
8,104232,Total
6,23946,Core
5,24493,Core
6,67011,Dispensable
9,100124,Dispensable
10,113701,Dispensable
7,86345,Dispensable
7,119456,Total
6,92012,Total
7,94824,Dispensable
7,108794,Total
8,79257,Dispensable
5,70054,Dispensable
8,114841,Total
10,115300,Total
7,100016,Total
6,23145,Core
8,81250,Dispensable
9,21472,Core
7,111223,Total
10,103994,Dispensable
4,25281,Core
10,135137,Total
9,94260,Dispensable
9,129582,Total
9,23629,Core
8,101333,Dispensable
9,125879,Total
11,137879,Total
8,82250,Dispensable
6,23318,Core
7,119177,Total
8,121786,Total
7,74715,Dispensable
8,118478,Total
9,21027,Core
5,76022,Dispensable
6,23590,Core
7,96725,Dispensable
7,108795,Total
8,100719,Dispensable
11,117868,Dispensable
7,25137,Core
9,88454,Dispensable
5,24551,Core
7,116895,Total
5,86655,Total
9,118097,Total
4,25705,Core
8,82901,Dispensable
9,117779,Total
11,20209,Core
7,88500,Dispensable
4,67862,Dispensable
6,93925,Total
7,89908,Dispensable
9,109291,Dispensable
9,129583,Total
8,92387,Dispensable
8,88891,Dispensable
10,21442,Core
6,23763,Core
6,87131,Dispensable
7,83433,Dispensable
10,93453,Dispensable
8,105586,Total
8,113686,Total
4,65586,Dispensable
8,81757,Dispensable
4,27883,Core
5,60325,Dispensable
8,112209,Total
8,123644,Total
8,113878,Total
4,25508,Core
8,116285,Total
4,81531,Total
7,113683,Total
8,106426,Total
11,20471,Core
11,139631,Total
8,104002,Total
7,23465,Core
9,106710,Dispensable
9,94977,Dispensable
11,110216,Dispensable
11,137351,Total
8,99212,Dispensable
8,90034,Dispensable
8,22548,Core
9,119166,Total
10,21072,Core
10,112282,Dispensable
5,23874,Core
10,127390,Total
9,96878,Dispensable
10,21506,Core
5,25417,Core
6,24202,Core
7,87941,Dispensable
8,111928,Total
8,92067,Dispensable
8,101278,Dispensable
8,23690,Core
5,75783,Dispensable
4,26198,Core
9,122388,Total
11,131138,Total
8,102719,Dispensable
7,87820,Dispensable
8,23001,Core
5,87408,Total
3,26184,Core
10,135452,Total
10,101442,Dispensable
9,23565,Core
9,131469,Total
3,72366,Total
6,101646,Total
7,102103,Total
8,81338,Dispensable
6,106523,Total
12,143454,Total
6,23135,Core
5,25838,Core
12,141876,Total
8,103179,Dispensable
7,109827,Total
10,93420,Dispensable
7,22293,Core
6,25608,Core
10,103233,Dispensable
5,62943,Dispensable
6,69309,Dispensable
6,69541,Dispensable
10,127459,Total
7,85819,Dispensable
9,106831,Dispensable
2,73140,Total
8,116805,Total
7,22300,Core
7,110309,Total
4,79435,Total
7,110240,Total
10,112039,Dispensable
3,54455,Dispensable
6,70401,Dispensable
10,112072,Dispensable
8,23422,Core
9,94999,Dispensable
9,98768,Dispensable
6,101608,Total
10,124388,Total
5,24245,Core
7,86378,Dispensable
4,90650,Total
6,103963,Total
8,81437,Dispensable
9,108644,Dispensable
8,105407,Total
9,108721,Dispensable
6,70511,Dispensable
11,130858,Total
7,87853,Dispensable
10,22801,Core
8,123682,Total
6,68099,Dispensable
4,94182,Total
5,25047,Core
8,22918,Core
9,107291,Dispensable
5,89167,Total
7,21799,Core
7,22673,Core
8,90045,Dispensable
9,110793,Total
9,101455,Dispensable
4,81290,Total
10,21581,Core
5,89916,Total
8,24037,Core
8,22127,Core
9,128563,Total
8,94090,Dispensable
7,89710,Dispensable
10,101696,Dispensable
6,22764,Core
11,110315,Dispensable
10,22196,Core
8,111598,Total
8,122997,Total
9,23945,Core
9,109059,Dispensable
13,138514,Total
11,21351,Core
6,95647,Total
6,65319,Dispensable
6,93138,Total
9,21893,Core
7,111416,Total
10,112017,Dispensable
7,119369,Total
8,102521,Dispensable
9,22827,Core
7,112942,Total
9,120629,Total
9,107037,Dispensable
10,113414,Dispensable
7,24345,Core
10,111502,Dispensable
6,78292,Dispensable
9,128792,Total
4,88554,Total
10,21126,Core
10,112138,Dispensable
12,121994,Dispensable
5,25353,Core
8,23245,Core
5,71319,Dispensable
7,112663,Total
6,105263,Total
7,87875,Dispensable
7,89434,Dispensable
8,101366,Dispensable
11,21649,Core
5,100027,Total
6,95088,Total
7,85731,Dispensable
9,112423,Total
7,83830,Dispensable
9,86123,Dispensable
9,88035,Dispensable
5,100957,Total
5,25363,Core
10,123927,Total
5,80401,Dispensable
9,123120,Total
9,22393,Core
4,81359,Total
4,27635,Core
7,87996,Dispensable
7,89886,Dispensable
12,119979,Dispensable
8,106320,Total
9,108302,Dispensable
7,89820,Dispensable
8,105301,Total
8,22630,Core
6,69408,Dispensable
7,89787,Dispensable
8,114525,Total
7,87643,Dispensable
9,129402,Total
10,106851,Dispensable
8,22620,Core
8,107128,Total
6,101837,Total
9,107379,Dispensable
8,22063,Core
6,71070,Dispensable
8,23235,Core
8,105022,Total
9,108423,Dispensable
10,123648,Total
6,94665,Total
10,21951,Core
6,90466,Dispensable
9,101179,Dispensable
6,81858,Dispensable
10,22244,Core
7,110155,Total
8,114804,Total
3,49462,Dispensable
8,83195,Dispensable
6,94386,Total
9,121821,Total
4,25963,Core
9,119444,Total
4,27869,Core
6,94436,Total
11,110039,Dispensable
6,69221,Dispensable
7,23044,Core
6,78005,Dispensable
10,134348,Total
8,101388,Dispensable
9,101323,Dispensable
4,80148,Total
6,104243,Total
8,21746,Core
11,126808,Total
7,111260,Total
5,88705,Total
9,111440,Total
10,124016,Total
10,126700,Total
9,108743,Dispensable
6,68077,Dispensable
7,22351,Core
10,134191,Total
10,134470,Total
12,134702,Total
3,29290,Core
8,117689,Total
10,113403,Dispensable
8,116880,Total
6,76214,Dispensable
7,23845,Core
8,94244,Dispensable
11,138719,Total
4,53106,Dispensable
9,118184,Total
4,79472,Total
6,25683,Core
8,96035,Dispensable
8,105778,Total
5,24479,Core
9,119165,Total
7,23835,Core
10,132891,Total
8,102642,Dispensable
4,90000,Total
7,111174,Total
9,128755,Total
4,50161,Dispensable
9,100830,Dispensable
8,116439,Total
8,88692,Dispensable
8,21698,Core
5,23443,Core
8,102565,Dispensable
6,105071,Total
9,106445,Dispensable
9,108357,Dispensable
8,22117,Core
6,24881,Core
2,62951,Total
10,123965,Total
4,25939,Core
6,76192,Dispensable
6,69298,Dispensable
8,95255,Dispensable
9,128000,Total
10,115828,Total
3,49870,Dispensable
6,95838,Total
7,22649,Core
7,98298,Total
7,76969,Dispensable
5,96700,Total
6,78093,Dispensable
7,118194,Total
8,89019,Dispensable
9,106566,Dispensable
9,120437,Total
5,97912,Total
9,21448,Core
13,19691,Core
10,104409,Dispensable
9,120523,Total
10,122474,Total
11,140258,Total
8,103455,Dispensable
8,21325,Core
7,101966,Total
10,135367,Total
6,94473,Total
5,70109,Dispensable
7,85665,Dispensable
9,118338,Total
9,101621,Dispensable
7,23475,Core
7,117542,Total
8,113122,Total
8,123924,Total
4,97866,Total
7,95251,Dispensable
2,28105,Dispensable
7,108231,Total
7,95118,Dispensable
5,24235,Core
8,103565,Dispensable
5,24988,Core
11,137910,Total
4,79626,Total
5,81280,Dispensable
5,107136,Total
8,92310,Dispensable
8,124857,Total
8,101543,Dispensable
5,98285,Total
5,99497,Total
8,89461,Dispensable
6,93175,Total
6,83649,Dispensable
10,101508,Dispensable
8,93343,Dispensable
9,23134,Core
8,115632,Total
5,95316,Total
5,71109,Dispensable
7,94791,Dispensable
5,24615,Core
5,74187,Dispensable
6,24090,Core
8,101686,Dispensable
7,97019,Dispensable
8,79676,Dispensable
6,107736,Total
5,87216,Total
8,102543,Dispensable
8,22572,Core
7,101122,Total
9,130891,Total
7,88489,Dispensable
9,21170,Core
4,26012,Core
7,112627,Total
9,100742,Dispensable
3,73579,Total
6,23702,Core
8,118106,Total
8,124299,Total
10,112116,Dispensable
8,116842,Total
8,78665,Dispensable
6,93137,Total
7,112818,Total
8,103444,Dispensable
8,24492,Core
9,89156,Dispensable
6,71004,Dispensable
6,70224,Dispensable
